"Measure","Time","Ethnicity","Ethnicity type","Role type","Broad grade","Grade","Entry level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","4.3","219"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","4.9","248"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","NA","740"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","51.4","2613"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","NA","1666"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","18.7","273"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","2.1","30"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1","14"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.7","25"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.8","26"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","NA","208"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","74.8","1090"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","NA","1369"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","23.5","287"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.5","31"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.3","16"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.8","34"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2","24"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","NA","147"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","67.9","830"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","NA","8709"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","42.9","3422"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","7.4","587"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","0.9","75"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","3.6","285"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","7.8","626"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","NA","724"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","37.4","2990"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","NA","32837"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","29.1","8522"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","7.5","2193"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","3.4","998"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","4.4","1304"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","5.3","1559"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","NA","3515"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","50.3","14746"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","NA","366"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","39.1","119"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","6.9","21"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","1.6","5"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","5.3","16"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","7.6","23"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","NA","62"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","39.5","120"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","All grades","All grades","All","NA","1163358"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","All grades","All grades","All","8.7","96645"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","All grades","All grades","All","6.6","73335"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","All grades","All grades","All","0.4","3991"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","All grades","All grades","All","1.7","18869"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","All grades","All grades","All","2.3","26108"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","All grades","All grades","All","NA","49373"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","All grades","All grades","All","80.3","895037"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","NA","12274"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","9.8","1143"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","6.6","764"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","0.2","23"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","1.8","210"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","2.2","258"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","NA","642"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","79.4","9234"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","NA","211823"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","8.5","17219"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","6.6","13415"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","0.2","357"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","1.7","3492"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","2.1","4359"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","NA","9030"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","80.8","163951"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","NA","162569"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","7","10959"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","6.8","10599"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","0.2","302"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","1.7","2707"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","1.5","2370"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","NA","6364"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","82.8","129268"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","NA","105424"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","7.3","7391"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","5.5","5619"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","0.3","282"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","1.8","1801"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","1.3","1277"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","NA","4122"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","83.8","84932"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","NA","232232"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","13.4","29539"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","8.8","19431"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","0.4","834"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","1.8","4086"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","4.5","9998"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","NA","11343"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","71.1","157001"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","NA","221523"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","7.8","16556"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","6.5","13815"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","0.5","960"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","1.6","3411"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","2.4","5036"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","NA","8214"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","81.4","173531"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","NA","130765"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","6.7","8444"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","5.1","6494"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","0.6","737"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","1.5","1877"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","1.6","2034"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","NA","4537"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","84.5","106642"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","NA","47703"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","7.1","3289"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","4.3","1970"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","0.7","326"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","1.6","716"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","1.1","525"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","NA","1534"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","85.2","39343"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","NA","17954"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","5.9","1028"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","3.4","592"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","0.6","110"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","1.5","253"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","0.9","154"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","NA","602"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","87.7","15215"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","NA","9029"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","5","433"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","3.3","291"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","0.4","39"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","1.4","119"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","0.7","63"
